  Node  id  | Distance | Name
  --------  | -------- | ---- 
  240949599 |      0   | Plaça Santa Maria
  240944785 |    26.93 | Carrer Abaixadors;Plaça Santa Maria
  240936347 |    40.72 | Carrer de l&apos;Plaça Santa Maria
  240936348 |    82.86 | Carrer de l&apos;Carrer Nicolau de Sant Climent
   30647274 |   101.26 | Carrer Rosic;Plaça Jacint Reventós
  240939090 |   106.76 | Carrer de l&apos;Plaça Jacint Reventós
   30647313 |   122.53 | Carrer Brosolí;Carrer Manresa
  240934220 |   147.01 | Carrer Grunyí;Carrer de l&apos;Argenteria
  240934857 |   172.17 | Carrer Gíriti;Carrer de l&apos;Argenteria
  240936350 |   212.19 | Carrer de l&apos;Carrer Vigatans
  240936351 |   237.41 | Carrer de l&apos;Argenteria
  240936353 |   254.87 | Carrer de l&apos;Via Laietana
   30227495 |   266.49 | Carrer de Jaume I;Via Laietana
  820938973 |   276.38 | Carrer de Jaume I;Plaza del Angel
  820938972 |   301.95 | Carrer de Jaume I
  630622793 |   339.44 | Carrer de Jaume I;Carrer de les Trompetes de Jaume I
   30227492 |   362.56 | Carrer de Jaume I;Carrer Freneria
  630622780 |   404.90 | Carrer de Jaume I;Carrer d&apos;Arlet
  630622788 |   439.03 | Carrer de Jaume I;Plaça de Sant Jaume
  209057500 |   443.87 | Plaça de Sant Jaume
  209057499 |   473.43 | Carrer Paradís;Carrer de la Llibreteria
  209134967 |   485.07 | Plaça de Sant Jaume;Carrer del Bisbe
  209137015 |   528.97 | Plaça de Sant Jaume;Carrer Sant Honorat
  209057497 |   536.34 | Plaça de Sant Jaume;Carrer del Call
   30243957 |   578.37 | Carrer de Sant Domènech del Call;Carrer del Call
  209132794 |   599.04 | Carrer del Call
  209132796 |   625.55 | Carrer del Call;Carrer de Sant Ramon del Call
 1400545466 |   631.08 | Carrer del Call
  209132797 |   659.52 | Carrer dels Banys Nous;Carrer del Call
   30252199 |   665.12 | Carrer dels Banys Nous;Carrer de la Boqueria
   30252198 |   686.82 | Carrer de la Volta del Remei;Carrer de la Boqueria
   30252197 |   725.34 | Carrer dels Cecs de la Boqueria;Carrer de la Boqueria
   30252196 |   745.35 | Carrer d&apos;Carrer de la Boqueria
   30252195 |   788.62 | Carrer d&apos;Carrer de la Boqueria
